timestamp,device_id,voltage,min_val,max_val,level,decibel,status
1776780421,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780423,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780426,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780428,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780430,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780432,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780434,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780436,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780438,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780440,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780442,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780445,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780447,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780449,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780451,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780453,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780455,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780457,pico_1,0.004,2112,2192,80,-58.27,OK
1776780459,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780461,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780464,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780466,pico_1,0.004,2112,2192,80,-58.27,OK
1776780468,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780470,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780472,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780474,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780476,pico_1,0.0024,2128,2176,48,-62.7,OK
1776780478,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780480,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780483,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780485,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780487,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780489,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780491,pico_1,0.0024,2112,2160,48,-62.7,OK
1776780493,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780495,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780497,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780499,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780502,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780504,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780506,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780508,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780510,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780512,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780514,pico_1,0.004,2112,2192,80,-58.27,OK
1776780516,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780518,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780521,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780523,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780525,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780527,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780529,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780531,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780533,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780535,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780537,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780540,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780542,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780544,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780546,pico_1,0.004,2112,2192,80,-58.27,OK
1776780548,pico_1,0.0048,2112,2208,96,-56.68,OK
1776780550,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780552,pico_1,0.0024,2128,2176,48,-62.7,OK
1776780554,pico_1,0.004,2112,2192,80,-58.27,OK
1776780556,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780559,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780561,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780563,pico_1,0.004,2112,2192,80,-58.27,OK
1776780565,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780567,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780569,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780571,pico_1,0.004,2112,2192,80,-58.27,OK
1776780573,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780575,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780578,pico_1,0.0177,1888,2240,352,-45.4,VARNING
1776780580,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780582,pico_1,0.004,2112,2192,80,-58.27,OK
1776780584,pico_1,0.1152,1472,3760,2288,-29.14,KRITISK
1776780586,pico_1,0.0177,1968,2320,352,-45.4,VARNING
1776780588,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780590,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780592,pico_1,0.6326,1376,13939,12563,-14.35,KRITISK
1776780594,pico_1,0.6818,1584,15123,13539,-13.7,KRITISK
1776780597,pico_1,0.0338,1856,2528,672,-39.78,KRITISK
1776780599,pico_1,0.0894,1808,3584,1776,-31.34,KRITISK
1776780601,pico_1,0.0073,2096,2240,144,-53.16,VARNING
1776780603,pico_1,0.0346,1952,2640,688,-39.58,KRITISK
1776780605,pico_1,0.0226,2000,2448,448,-43.3,KRITISK
1776780607,pico_1,0.0226,2000,2448,448,-43.3,KRITISK
1776780609,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780611,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780613,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780616,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780618,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780620,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780622,pico_1,0.004,2112,2192,80,-58.27,OK
1776780624,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780626,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780628,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780630,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780632,pico_1,0.004,2112,2192,80,-58.27,OK
